TABLE_TITLE,TABLE_UNIVERSE
Field Of Bachelor's Degree For First Major The Population 25 Years And Over (American Indian And Alaska Native Alone),AMERICAN INDIAN AND ALASKA NATIVE ALONE POPULATION 25 YEARS AND OVER WITH A BACHELOR'S DEGREE OR HIGHER ATTAINMENT
Field Of Bachelor's Degree For First Major The Population 25 Years And Over (Asian Alone),ASIAN ALONE POPULATION 25 YEARS AND OVER WITH A BACHELOR'S DEGREE OR HIGHER ATTAINMENT
Presence Of A Computer And Type Of Internet Subscription In Household (American Indian And Alaska Native Alone),American Indian and Alaska Native alone household population
Aggregate Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) For The Population 15 Years And Over (American Indian And Alaska Native Alone),American Indian and Alaska Native alone population 15 years and over
School Enrollment By Detailed Level Of School For The Population 3 Years And Over (American Indian And Alaska Native Alone),American Indian and Alaska Native alone population 3 years and over
Presence Of A Computer And Type Of Internet Subscription In Household (Asian Alone),Asian alone household population
Asian Alone Or In Combination With One Or More Other Races,Asian alone or in combination with one or more other races
Aggregate Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) For The Population 15 Years And Over (Asian Alone),Asian alone population 15 years and over
School Enrollment By Detailed Level Of School For The Population 3 Years And Over (Asian Alone),Asian alone population 3 years and over
Field Of Bachelor's Degree For First Major The Population 25 Years And Over (Black Or African American Alone),BLACK OR AFRICAN AMERICAN ALONE POPULATION 25 YEARS AND OVER WITH A BACHELOR'S DEGREE OR HIGHER ATTAINMENT
Median Age By Sex (Black Or African American Alone),Black or African American alone
Presence Of A Computer And Type Of Internet Subscription In Household (Black Or African American Alone),Black or African American alone household population
Black Or African American Alone Or In Combination With One Or More Other Races,Black or African American alone or in combination with one or more other races
Aggregate Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) For The Population 15 Years And Over (Black Or African American Alone),Black or African American alone population 15 years and over
School Enrollment By Detailed Level Of School For The Population 3 Years And Over (Black Or African American Alone),Black or African American alone population 3 years and over
"Citizen, Voting-Age Population By Age",Citizens 18 years and over
"Citizen, Voting-Age Population By Educational Attainment",Citizens 18 years and over
"Citizen, Voting-Age Population By Poverty Status",Citizens 18 years and over for whom poverty status is determined
Sex By Occupation For The Civilian Employed Population 16 Years And Over (American Indian And Alaska Native Alone),Civilian employed American Indian and Alaska Native alone population 16 years and over
Sex By Occupation For The Civilian Employed Population 16 Years And Over (Asian Alone),Civilian employed Asian alone population 16 years and over
Sex By Occupation For The Civilian Employed Population 16 Years And Over (Black Or African American Alone),Civilian employed Black or African American alone population 16 years and over
Sex By Occupation For The Civilian Employed Population 16 Years And Over (Hispanic Or Latino),Civilian employed Hispanic or Latino population 16 years and over
Sex By Occupation For The Civilian Employed Population 16 Years And Over (Some Other Race Alone),Civilian employed Some other race alone population 16 years and over
Sex By Occupation For The Civilian Employed Population 16 Years And Over (Two Or More Races),Civilian employed Two or more races population 16 years and over
Sex By Occupation For The Civilian Employed Population 16 Years And Over (White Alone),Civilian employed White alone population 16 years and over
"Sex By Occupation For The Civilian Employed Population 16 Years And Over (White Alone, Not Hispanic Or Latino)","Civilian employed White alone, not Hispanic or Latino population 16 years and over"
Allocation Of Class Of Worker For The Civilian Employed Population 16 Years And Over,Civilian employed population 16 years and over
Sex By Occupation For The Civilian Employed Population 16 Years And Over,Civilian employed population 16 years and over
Sex By Industry For The Civilian Employed Population 16 Years And Over,Civilian employed population 16 years and over
Allocation Of Industry For The Civilian Employed Population 16 Years And Over,Civilian employed population 16 years and over
Sex By Class Of Worker For The Civilian Employed Population 16 Years And Over,Civilian employed population 16 years and over
Allocation Of Occupation For The Civilian Employed Population 16 Years And Over,Civilian employed population 16 years and over
Labor Force Status By Presence Of A Computer And Types Of Internet Subscription In Household,Civilian household population 16 years and over
Types Of Health Insurance Coverage By Age,Civilian noninstitutionalized population
Sex By Age By Veteran Status For The Civilian Population 18 Years And Over,Civilian population 18 years and over
Age By Veteran Status By Poverty Status In The Past 12 Months By Disability Status For The Civilian Population 18 Years And Over,Civilian population 18 years and over for whom poverty status is determined
Sex By Work Status In The Past 12 Months By Usual Hours Worked Per Week In The Past 12 Months By Weeks Worked In The Past 12 Months For The Population 65 Years And Over,Civilian population 65 Years and Over
Period Of Military Service For Civilian Veterans 18 Years And Over,Civilian veterans 18 years and over
Allocation Of Period Of Military Service For Civilian Veterans 18 Years And Over,Civilian veterans 18 years and over
Allocation Of Poverty Status In The Past 12 Months For Families,Families
Family Type By Presence And Age Of Related Children Under 18 Years,Families
Presence Of Own Children Under 18 Years By Family Type By Number Of Workers In Family In The Past 12 Months,Families
Family Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars),Families
Allocation Of Family Income In The Past 12 Months -- Percent Of Income Allocated,Families
Median Family Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars),Families
Aggregate Family Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars),Families
Family Size By Cash Public Assistance Income Or Households Receiving Food Stamps/Snap Benefits In The Past 12 Months,Families
Family Type By Presence And Age Of Own Children Under 18 Years,Families
Poverty Status In The Past 12 Months Of Families By Family Type By Presence Of Related Children Under 18 Years By Age Of Related Children,Families
Aggregate Income Deficit (Dollars) In The Past 12 Months For Families By Family Type,Families with income in the past 12 months below the poverty level
Presence Of Own Children Under 18 Years By Age Of Own Children Under 18 Years By Employment Status For Females 20 To 64 Years,Females 20 to 64 years in households
Allocation Of Year Of Naturalization,Foreign-born naturalized citizens
"Sex By Occupation For The Full-Time, Year-Round Civilian Employed Population 16 Years And Over","Full-time, year-round civilian employed population 16 years and over"
Allocation Of Grandparents Responsible For Grandchildren Under 18 Years,Grandparents living with own grandchildren under 18 years
Field Of Bachelor's Degree For First Major The Population 25 Years And Over (Hispanic Or Latino),HISPANIC OR LATINO POPULATION 25 YEARS AND OVER WITH A BACHELOR'S DEGREE OR HIGHER ATTAINMENT
Presence Of A Computer And Type Of Internet Subscription In Household (Hispanic Or Latino),Hispanic or Latino household population
Median Age By Sex (Hispanic Or Latino),Hispanic or Latino population
Aggregate Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) For The Population 15 Years And Over (Hispanic Or Latino),Hispanic or Latino population 15 years and over
School Enrollment By Detailed Level Of School For The Population 3 Years And Over (Hispanic Or Latino),Hispanic or Latino population 3 years and over
Educational Attainment By Presence Of A Computer And Types Of Internet Subscription In Household,Household population 25 years and over
Public Assistance Income In The Past 12 Months For Households,Households
Aggregate Other Types Of Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) For Households,Households
Aggregate Household Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars),Households
